run,bioproject,latitude,longitude,bases
SRR10245277,PRJNA477349,-2.154,34.6857,189472596
SRR10245278,PRJNA477349,-2.154,34.6857,260559853
SRR10245279,PRJNA477349,-2.154,34.6857,155298955
SRR10245280,PRJNA477349,-9,37.5,155860473
SRR10245281,PRJNA477349,-9,37.5,104723252
SRR10245282,PRJNA477349,-9,37.5,188127068
SRR10245283,PRJNA477349,-9,37.5,157420155
SRR10245284,PRJNA477349,-9,37.5,121850039
SRR10245285,PRJNA477349,-9,37.5,127687566
SRR10245286,PRJNA477349,-2.154,34.6857,240451037
SRR10245287,PRJNA477349,-9,37.5,167070010
SRR10245288,PRJNA477349,-9,37.5,127584597
SRR10245289,PRJNA477349,-9,37.5,97312340
SRR10245290,PRJNA477349,-9,37.5,255927054
SRR10245291,PRJNA477349,-9,37.5,162402714
SRR10245292,PRJNA477349,-9,37.5,109734329
SRR10245293,PRJNA477349,-9,37.5,274398756
SRR10245294,PRJNA477349,-9,37.5,382616209
SRR10245295,PRJNA477349,-9,37.5,141324954
SRR10245296,PRJNA477349,-9,37.5,239466402
SRR10245297,PRJNA477349,-2.154,34.6857,245407364
SRR10245298,PRJNA477349,-9,37.5,184179160
SRR10245299,PRJNA477349,-9,37.5,134554045
SRR10245300,PRJNA477349,-9,37.5,111840086
SRR10245301,PRJNA477349,-7.386,34.9563,127499705
SRR10245302,PRJNA477349,-7.386,34.9563,115896404
SRR10245303,PRJNA477349,-7.386,34.9563,434919320
SRR10245304,PRJNA477349,-7.386,34.9563,195023816
SRR10245305,PRJNA477349,-7.386,34.9563,189897067
SRR10245306,PRJNA477349,-2.154,34.6857,195305284
SRR10245307,PRJNA477349,-2.154,34.6857,156614392
SRR10245308,PRJNA477349,-2.154,34.6857,90065277
SRR10245309,PRJNA477349,-2.154,34.6857,131479699
SRR10245310,PRJNA477349,-2.154,34.6857,106719398
SRR10245311,PRJNA477349,-2.154,34.6857,224665559
SRR10245312,PRJNA477349,-2.154,34.6857,157162277
SRR10245313,PRJNA477349,-9,37.5,125197617
SRR10245314,PRJNA477349,-9,37.5,45326993
SRR10245315,PRJNA477349,-9,37.5,188138265
SRR10245316,PRJNA477349,-9,37.5,162319872
SRR10245317,PRJNA477349,-9,37.5,187667769
SRR10245318,PRJNA477349,-9,37.5,31642765
SRR10245319,PRJNA477349,-2.154,34.6857,121674305
SRR10245320,PRJNA477349,-9,37.5,142037064
SRR10245321,PRJNA477349,-9,37.5,169655534
SRR10245322,PRJNA477349,-9,37.5,110290914
SRR10245323,PRJNA477349,-9,37.5,27688395
SRR10245324,PRJNA477349,-7.386,34.9563,175572215
SRR10245325,PRJNA477349,-7.386,34.9563,202819933
SRR10245326,PRJNA477349,-7.386,34.9563,204401711
SRR10245327,PRJNA477349,-7.386,34.9563,247776437
SRR10245328,PRJNA477349,-7.386,34.9563,38333428
SRR10245329,PRJNA477349,-7.386,34.9563,173615294
SRR10245330,PRJNA477349,-9,37.5,265408834
SRR10245331,PRJNA477349,-7.386,34.9563,169298009
SRR10245332,PRJNA477349,-7.386,34.9563,103336374
SRR10245333,PRJNA477349,-7.386,34.9563,168525082
SRR10245334,PRJNA477349,-7.386,34.9563,144602211
SRR10245335,PRJNA477349,-7.386,34.9563,135470157
SRR10245336,PRJNA477349,-7.386,34.9563,186634887
SRR10245337,PRJNA477349,-7.386,34.9563,162046193
SRR10245338,PRJNA477349,-7.386,34.9563,21645200
SRR10245339,PRJNA477349,-7.386,34.9563,198394487
SRR10245340,PRJNA477349,-7.386,34.9563,130627707
SRR10245341,PRJNA477349,-9,37.5,218143940
SRR10245342,PRJNA477349,-7.386,34.9563,144964806
SRR10245343,PRJNA477349,-7.386,34.9563,129594850
SRR10245344,PRJNA477349,-2.154,34.6857,154318388
SRR10245345,PRJNA477349,-2.154,34.6857,218845158
SRR10245346,PRJNA477349,-2.154,34.6857,159071575
SRR10245347,PRJNA477349,-2.154,34.6857,169425435
SRR10245348,PRJNA477349,-2.154,34.6857,153215858
SRR10245349,PRJNA477349,-2.154,34.6857,175017315
SRR10245350,PRJNA477349,-2.154,34.6857,249748344
SRR10245351,PRJNA477349,-2.154,34.6857,151251130
SRR10245352,PRJNA477349,-9,37.5,316807915
SRR10245353,PRJNA477349,-7.386,34.9563,184258891
SRR7450706,PRJNA477349,-1.7898,34.7548,115867132
SRR7450707,PRJNA477349,-2.0509,33.963,86597292
SRR7450708,PRJNA477349,-2.0209,34.4479,71575510
SRR7450709,PRJNA477349,-2.0028,34.563,59185960
SRR7450710,PRJNA477349,-2.0028,34.563,44926426
SRR7450711,PRJNA477349,-1.7898,34.7548,61221742
SRR7450712,PRJNA477349,-1.7898,34.7548,60371914
SRR7450713,PRJNA477349,-1.9798,34.1463,175239728
SRR7450714,PRJNA477349,-1.8791,34.7836,58723900
SRR7450715,PRJNA477349,-2.0028,34.563,63757334
SRR7450716,PRJNA477349,-1.9939,34.5189,78246388
SRR7450717,PRJNA477349,-1.8791,34.7836,49529510
SRR7450718,PRJNA477349,-1.9986,34.3729,153909166
SRR7450719,PRJNA477349,-2.0209,34.4479,69999976
SRR7450720,PRJNA477349,-2.0751,34.4984,51084810
SRR7450721,PRJNA477349,-2.0028,34.563,44892300
SRR7450722,PRJNA477349,-2.0189,34.4164,40833722
SRR7450723,PRJNA477349,-1.9291,34.2791,88722164
SRR7450724,PRJNA477349,-2.0471,34.467,77241936
SRR7450725,PRJNA477349,-2.0751,34.4984,63881758
SRR7450726,PRJNA477349,-1.8791,34.7836,60312118
SRR7450727,PRJNA477349,-2.0509,33.963,61298148
SRR7450728,PRJNA477349,-2.0509,33.963,19207804
SRR7450729,PRJNA477349,-2.0509,33.963,20184774
SRR7450730,PRJNA477349,-2.0509,33.963,23115382
SRR7450731,PRJNA477349,-2.0509,33.963,21094398
SRR7450732,PRJNA477349,-2.0509,33.963,15595280
SRR7450733,PRJNA477349,-2.0509,33.963,20505196
SRR7450734,PRJNA477349,-2.0509,33.963,23906320
SRR7450735,PRJNA477349,-2.0509,33.963,65363068
SRR7450736,PRJNA477349,-1.8791,34.7836,66793340
SRR7450737,PRJNA477349,-1.98,34.146,25492122
SRR7450738,PRJNA477349,-2.0318,33.8599,24654978
SRR7450739,PRJNA477349,-2.0189,34.4164,21442604
SRR7450740,PRJNA477349,-2.0318,33.8599,158521310
SRR7450741,PRJNA477349,-2.0318,33.8599,23877630
SRR7450742,PRJNA477349,-2.0318,33.8599,26635494
SRR7450743,PRJNA477349,-1.4197,34.7475,33322378
SRR7450744,PRJNA477349,-2.0531,33.9437,21569142
SRR7450745,PRJNA477349,-2.0318,33.8599,27058898
SRR7450746,PRJNA477349,-2.0189,34.4164,8854338
SRR7450747,PRJNA477349,-1.5201,34.6631,13414236
SRR7450748,PRJNA477349,-2.0509,33.963,65480848
SRR7450749,PRJNA477349,-2.0509,33.963,101250936
SRR7450750,PRJNA477349,-1.8791,34.7836,111240492
SRR7450751,PRJNA477349,-2.0509,33.963,53742108
SRR7450752,PRJNA477349,-1.9871,34.105,10827304
SRR7450753,PRJNA477349,-1.4451,34.7022,8055246
SRR7450754,PRJNA477349,-1.9871,34.105,22160760
SRR7450755,PRJNA477349,-1.9871,34.105,10768716
SRR7450756,PRJNA477349,-1.9986,34.3729,21631354
SRR7450757,PRJNA477349,-1.7898,34.7548,16168476
SRR7450758,PRJNA477349,-2.0318,33.8598,4163674
SRR7450759,PRJNA477349,-2.0318,33.8599,18923018
SRR7450760,PRJNA477349,-1.5201,34.6631,23267590
SRR7450761,PRJNA477349,-1.5201,34.6631,20684886
SRR17868041,PRJNA802976,37.41,127.13,33868520
SRR17868042,PRJNA802976,37.41,127.13,19538512
SRR17868043,PRJNA802976,37.41,127.13,67675034
SRR17868044,PRJNA802976,37.41,127.13,50787730
SRR17868045,PRJNA802976,37.41,127.13,43784664
SRR17868046,PRJNA802976,37.41,127.13,61173434
SRR17868047,PRJNA802976,37.41,127.13,49626472
SRR17868048,PRJNA802976,37.41,127.13,54936112
SRR17868049,PRJNA802976,37.41,127.13,53664086
SRR17868050,PRJNA802976,37.41,127.13,41295394
SRR17868051,PRJNA802976,37.41,127.13,39204046
SRR17868052,PRJNA802976,37.41,127.13,64013068
SRR17868053,PRJNA802976,37.41,127.13,51554076
SRR17868054,PRJNA802976,37.41,127.13,62282318
SRR17868055,PRJNA802976,37.41,127.13,61700184
SRR17868056,PRJNA802976,37.41,127.13,49547008
SRR17868057,PRJNA802976,37.41,127.13,70008386
SRR17868058,PRJNA802976,37.41,127.13,47633852
SRR17868059,PRJNA802976,37.41,127.13,60222274
SRR17868060,PRJNA802976,37.41,127.13,55468280
SRR17868061,PRJNA802976,37.41,127.13,56552482
SRR17868062,PRJNA802976,37.41,127.13,45777284
SRR17868063,PRJNA802976,37.41,127.13,44517900
SRR17868064,PRJNA802976,37.41,127.13,80939502
SRR17868065,PRJNA802976,37.41,127.13,48669894
SRR17868066,PRJNA802976,37.41,127.13,63331002
SRR17868067,PRJNA802976,37.41,127.13,43081528
SRR17868068,PRJNA802976,37.41,127.13,48126288
SRR17868069,PRJNA802976,37.41,127.13,56779436
SRR17868070,PRJNA802976,37.41,127.13,57215886
SRR17868071,PRJNA802976,37.41,127.13,69359430
SRR17868072,PRJNA802976,37.41,127.13,56968464
SRR17868073,PRJNA802976,37.41,127.13,43838242
SRR17868074,PRJNA802976,37.41,127.13,41863682
SRR17868075,PRJNA802976,37.41,127.13,57381436
SRR17868076,PRJNA802976,37.41,127.13,39973402
SRR17868077,PRJNA802976,37.41,127.13,49814296
SRR17868078,PRJNA802976,37.41,127.13,48321336
SRR17868079,PRJNA802976,37.41,127.13,51061640
SRR17868080,PRJNA802976,37.41,127.13,59850840
SRR17868081,PRJNA802976,37.41,127.13,34203232
SRR17868082,PRJNA802976,37.41,127.13,24414712
SRR17868083,PRJNA802976,37.41,127.13,51974874
SRR17868084,PRJNA802976,37.41,127.13,65313990
SRR17868085,PRJNA802976,37.41,127.13,50908732
SRR17868086,PRJNA802976,37.41,127.13,49401324
SRR17868087,PRJNA802976,37.41,127.13,45183712
SRR17868088,PRJNA802976,37.41,127.13,53140948
SRR17868089,PRJNA802976,37.41,127.13,51862902
SRR17868090,PRJNA802976,37.41,127.13,31326274
SRR17868091,PRJNA802976,37.41,127.13,61877774
SRR17868092,PRJNA802976,37.41,127.13,58701622
SRR17868093,PRJNA802976,37.41,127.13,35425292
SRR17868094,PRJNA802976,37.41,127.13,45972332
SRR3725392,PRJNA322554,29.77152983,-95.22124444,4928754
SRR3725509,PRJNA322554,29.77152983,-95.22124444,581
SRR3725380,PRJNA322554,29.77152983,-95.22124444,9688390
SRR3725410,PRJNA322554,29.77152983,-95.22124444,567421
SRR3725457,PRJNA322554,29.77152983,-95.22124444,136774
SRR3725459,PRJNA322554,29.77152983,-95.22124444,12364309
SRR3725399,PRJNA322554,29.77152983,-95.22124444,170863
SRR3725422,PRJNA322554,29.77152983,-95.22124444,9176908
SRR3725436,PRJNA322554,29.77152983,-95.22124444,4368148
SRR3725452,PRJNA322554,29.77152983,-95.22124444,4066126
