sample_name	condition	latitude	longitude
SRR900226	Aguas Calientes	-25.155	-69.509
SRR901032	Aguas Calientes	-25.155	-69.509
SRR901079	Aguas Calientes	-25.155	-69.509
SRR901080	Aguas Calientes	-25.155	-69.509
SRR901081	Aguas Calientes	-25.155	-69.509
SRR901082	Aguas Calientes	-25.155	-69.509
SRR901083	Altamira	-25.411	-70.165
SRR901084	Altamira	-25.411	-70.165
SRR901085	Altamira	-25.411	-70.165
SRR901086	Altamira	-25.411	-70.165
SRR901087	Altamira	-25.411	-70.165
SRR901088	Altamira	-25.411	-70.165
SRR901089	Altamira	-25.411	-70.165
SRR901090	Altamira	-25.411	-70.165
SRR901091	Altamira	-25.411	-70.165
SRR901092	Andrew Garden	-24.26	-69.411
SRR901093	Andrew Garden	-24.26	-69.411
SRR901094	Andrew Garden	-24.26	-69.411
SRR901095	Andrew Garden	-24.26	-69.411
SRR901096	Andrew Garden	-24.26	-69.411
SRR901097	Andrew Garden	-24.26	-69.411
SRR901098	Andrew Garden	-24.26	-69.411
SRR901099	Andrew Garden	-24.26	-69.411
SRR901100	Andrew Garden	-24.26	-69.411
SRR901101	Andrew Garden	-24.26	-69.411
SRR901102	Andrew Garden	-24.26	-69.411
SRR901103	Bea Hill	-24.051	-69.596
SRR901104	Bea Hill	-24.051	-69.596
SRR901105	Bea Hill	-24.051	-69.596
SRR901106	Bea Hill	-24.051	-69.596
SRR901107	Bea Hill	-24.051	-69.596
SRR901108	Bea Hill	-24.051	-69.596
SRR901109	Bea Hill	-24.051	-69.596
SRR901110	Bea Hill	-24.051	-69.596
SRR901111	Bea Hill	-24.051	-69.596
SRR901112	Bea Hill	-24.051	-69.596
SRR901113	Bea Hill	-24.051	-69.596
SRR901114	Bea Hill	-24.051	-69.596
SRR901115	Bea Hill	-24.051	-69.596
SRR901116	Bea Hill	-24.051	-69.596
SRR901117	Bea Hill	-24.051	-69.596
SRR901118	Bea Hill	-24.051	-69.596
SRR901119	Chanaral	-26.098	-70.171
SRR901120	Chanaral	-26.098	-70.171
SRR901121	Chanaral	-26.098	-70.171
SRR901122	Chanaral	-26.098	-70.171
SRR901123	Chanaral	-26.098	-70.171
SRR901124	Chanaral	-26.098	-70.171
SRR901125	Chanaral	-26.098	-70.171
SRR901126	Chanaral	-26.098	-70.171
SRR901127	Chanaral	-26.098	-70.171
SRR901128	Kevin Garden	-24.019	-69.423
SRR901129	Kevin Garden	-24.019	-69.423
SRR901130	Kevin Garden	-24.019	-69.423
SRR901131	Kevin Garden	-24.019	-69.423
SRR901132	Kevin Garden	-24.019	-69.423
SRR901133	Kevin Garden	-24.019	-69.423
SRR901134	Kevin Garden	-24.019	-69.423
SRR901135	Kevin Garden	-24.019	-69.423
SRR901136	Kevin Garden	-24.019	-69.423
SRR901137	Kevin Garden	-24.019	-69.423
SRR901138	Kevin Garden	-24.019	-69.423
SRR901139	Kevin Garden	-24.019	-69.423
SRR901140	Kevin Garden	-24.019	-69.423
SRR901141	Kevin Garden	-24.019	-69.423
SRR901142	Kevin Garden	-24.019	-69.423
SRR901143	Kevin Garden	-24.019	-69.423
SRR901144	Bea Hill	-24.051	-69.596
